"Start Year","Genre","Movies"
1952,"Film-Noir",23
1952,"History",24
1952,"Horror",5
1952,"Music",33
1952,"Musical",63
1952,"Mystery",24
1952,"News",1
1952,"Romance",119
1952,"Sci-Fi",11
1952,"Short",2
1952,"Sport",12
1952,"Thriller",31
1952,"War",28
1952,"Western",80
1953,"Action",62
1953,"Adventure",115
1953,"Animation",7
1953,"Biography",21
1953,"Comedy",301
1953,"Crime",93
1953,"Documentary",24
1953,"Drama",460
1953,"Family",35
1953,"Fantasy",18
1953,"Film-Noir",16
1953,"History",29
1953,"Horror",16
1953,"Music",26
1953,"Musical",64
1953,"Mystery",25
1953,"News",1
1953,"Romance",122
1953,"Sci-Fi",21
1953,"Short",2
1953,"Sport",6
1953,"Thriller",28
1953,"War",47
1953,"Western",68
1954,"Action",58
1954,"Adventure",113
1954,"Animation",1
1954,"Biography",27
1954,"Comedy",265
1954,"Crime",102
1954,"Documentary",23
1954,"Drama",503
1954,"Family",38
1954,"Fantasy",30
1954,"Film-Noir",20
1954,"Game-Show",1
1954,"History",29
1954,"Horror",17
1954,"Music",19
1954,"Musical",51
1954,"Mystery",28
1954,"News",2
1954,"Romance",142
1954,"Sci-Fi",21
1954,"Short",1
1954,"Sport",7
1954,"Thriller",29
1954,"War",34
1954,"Western",55
1955,"Action",47
1955,"Adventure",102
1955,"Animation",3
1955,"Biography",29
1955,"Comedy",299
1955,"Crime",127
1955,"Documentary",24
1955,"Drama",512
1955,"Family",45
1955,"Fantasy",28
1955,"Film-Noir",42
1955,"History",41
1955,"Horror",14
1955,"Music",33
1955,"Musical",65
1955,"Mystery",27
1955,"Romance",148
1955,"Sci-Fi",17
1955,"Sport",7
1955,"Thriller",26
1955,"War",46
1955,"Western",56
1956,"Action",54
1956,"Adventure",88
1956,"Animation",2
1956,"Biography",17
1956,"Comedy",293
1956,"Crime",118
1956,"Documentary",20
1956,"Drama",524
1956,"Family",40
1956,"Fantasy",26
1956,"Film-Noir",33
1956,"History",26
1956,"Horror",24
1956,"Music",32
1956,"Musical",71
1956,"Mystery",18
1956,"Romance",151
1956,"Sci-Fi",31
1956,"Short",2
1956,"Sport",8
1956,"Talk-Show",1
1956,"Thriller",27
1956,"War",48
1956,"Western",63
1957,"Action",71
1957,"Adventure",99
1957,"Animation",4
1957,"Biography",26
1957,"Comedy",323
1957,"Crime",157
1957,"Documentary",22
1957,"Drama",587
1957,"Family",49
1957,"Fantasy",38
1957,"Film-Noir",28
1957,"History",28
1957,"Horror",44
1957,"Music",25
1957,"Musical",70
1957,"Mystery",30
1957,"Romance",165
1957,"Sci-Fi",27
1957,"Short",2
1957,"Sport",8
1957,"Thriller",49
1957,"War",50
1957,"Western",63
1958,"Action",62
1958,"Adventure",98
1958,"Animation",5
1958,"Biography",23
1958,"Comedy",351
1958,"Crime",137
1958,"Documentary",20
1958,"Drama",568
1958,"Family",49
1958,"Fantasy",21
1958,"Film-Noir",19
1958,"History",25
1958,"Horror",51
1958,"Music",23
1958,"Musical",59
1958,"Mystery",35
1958,"Romance",170
1958,"Sci-Fi",41
1958,"Short",2
1958,"Sport",2
1958,"Thriller",46
1958,"War",68
1958,"Western",59
1959,"Action",64
1959,"Adventure",111
1959,"Animation",4
1959,"Biography",23
1959,"Comedy",356
1959,"Crime",122
1959,"Documentary",33
1959,"Drama",605
1959,"Family",52
1959,"Fantasy",30
1959,"History",32
1959,"Horror",43
1959,"Music",20
1959,"Musical",75
1959,"Mystery",36
1959,"Romance",182
1959,"Sci-Fi",34
1959,"Short",3
1959,"Sport",2
1959,"Thriller",67
1959,"War",75
1959,"Western",36
1960,"Action",81
1960,"Adventure",98
1960,"Animation",6
1960,"Biography",25
1960,"Comedy",372
1960,"Crime",171
1960,"Documentary",31
1960,"Drama",645
1960,"Family",66
1960,"Fantasy",36
1960,"History",26
1960,"Horror",44
1960,"Music",19
1960,"Musical",60
1960,"Mystery",34
1960,"News",1
1960,"Romance",183
1960,"Sci-Fi",20
1960,"Short",3
1960,"Sport",3
1960,"Talk-Show",1
1960,"Thriller",41
1960,"War",73
1960,"Western",35
1961,"Action",76
1961,"Adventure",132
1961,"Animation",7
1961,"Biography",22
1961,"Comedy",390
1961,"Crime",140
1961,"Documentary",48
1961,"Drama",669
1961,"Family",56
1961,"Fantasy",40
1961,"History",45
1961,"Horror",31
1961,"Music",32
1961,"Musical",62
1961,"Mystery",39
1961,"Romance",184
1961,"Sci-Fi",22
1961,"Short",12
1961,"Sport",5
1961,"Thriller",55
1961,"War",90
1961,"Western",32
1962,"Action",89
1962,"Adventure",140
1962,"Animation",14
1962,"Biography",17
1962,"Comedy",427
1962,"Crime",132
1962,"Documentary",47
1962,"Drama",679
1962,"Family",61
1962,"Fantasy",35
1962,"History",30
1962,"Horror",38
1962,"Music",34
1962,"Musical",55
1962,"Mystery",43
1962,"Romance",170
1962,"Sci-Fi",27
1962,"Short",8
1962,"Sport",6
1962,"Thriller",51
1962,"War",70
1962,"Western",32
1963,"Action",95
1963,"Adventure",126
1963,"Animation",5
1963,"Biography",12
1963,"Comedy",440
1963,"Crime",136
1963,"Documentary",66
1963,"Drama",627
1963,"Family",60
1963,"Fantasy",30
1963,"History",30
1963,"Horror",45
1963,"Music",48
1963,"Musical",68
1963,"Mystery",34
1963,"News",2
1963,"Romance",154
1963,"Sci-Fi",20
1963,"Short",20
1963,"Sport",9
1963,"Thriller",50
1963,"War",54
1963,"Western",23
1964,"Action",118
1964,"Adventure",161
1964,"Animation",6
1964,"Biography",17
1964,"Comedy",476
1964,"Crime",153
1964,"Documentary",58
1964,"Drama",708
1964,"Family",57
1964,"Fantasy",43
1964,"History",46
1964,"Horror",54
1964,"Music",43
1964,"Musical",77
1964,"Mystery",50
1964,"News",2
1964,"Romance",192
1964,"Sci-Fi",25
1964,"Short",19
1964,"Sport",7
1964,"Thriller",57
1964,"War",66
1964,"Western",61
1965,"Action",117
1965,"Adventure",167
1965,"Animation",13
1965,"Biography",26
1965,"Comedy",443
1965,"Crime",131
1965,"Documentary",75
1965,"Drama",722
1965,"Family",53
1965,"Fantasy",34
1965,"History",40
1965,"Horror",57
1965,"Music",59
1965,"Musical",86
1965,"Mystery",44
1965,"Romance",185
1965,"Sci-Fi",38
1965,"Short",26
1965,"Sport",9
1965,"Thriller",66
1965,"War",67
1965,"Western",84
1966,"Action",175
1966,"Adventure",190
1966,"Animation",16
1966,"Biography",20
1966,"Comedy",472
1966,"Crime",197
1966,"Documentary",57
1966,"Drama",743
1966,"Family",77
1966,"Fantasy",41
1966,"Game-Show",1
1966,"History",44
1966,"Horror",45
1966,"Music",52
1966,"Musical",88
1966,"Mystery",52
1966,"News",1
1966,"Romance",195
1966,"Sci-Fi",62
1966,"Short",29
1966,"Sport",7
1966,"Thriller",61
1966,"War",73
1966,"Western",97
1967,"Action",166
1967,"Adventure",209
1967,"Animation",42
1967,"Biography",10
1967,"Comedy",483
1967,"Crime",212
1967,"Documentary",75
1967,"Drama",797
1967,"Family",67
1967,"Fantasy",47
1967,"History",38
1967,"Horror",48
1967,"Music",79
1967,"Musical",86
1967,"Mystery",50
1967,"News",2
1967,"Romance",186
1967,"Sci-Fi",39
1967,"Short",71
1967,"Sport",6
1967,"Talk-Show",2
